abandon|từ bỏ, bỏ rơi|desert, forsake, leave
talisman|bùa hộ mệnh|charm, amulet, periapt
talk|nói chuyện, thảo luận|speak, converse, chat, discuss, discourse
talkative|nói nhiều, ba hoa|garrulous, loquacious, chatty, verbose, wordy
tall|cao lớn, cường điệu|lofty, high, elevated, lanky, exaggerated
tally|sự tính toán, ăn khớp|count, score, record, match, agree
tame|đã thuần hóa, tẻ nhạt|domesticated, docile, gentle, dull, boring
tamper|can thiệp bậy bạ, làm giả|interfere, meddle, tinker, alter, falsify
tang|mùi vị mạnh, hương sắc|flavor, taste, zest, aroma, twang
tangible|hữu hình, rõ ràng|palpable, touchable, physical, real, concrete
tangle|mớ bòng bòng, làm rối|snarl, knot, jumble, twist, entangle
tantalize|trêu ngươi, nhử mồi|tease, torment, bait, tempt, entice
tantamount|tương đương với|equal, equivalent, identical, synonymous
tantrum|cơn thịnh nộ, hờn dỗi|outburst, fit, rage, blowup, dither
tap|gõ nhẹ, vòi nước|rap, knock, pat, faucet, valve
taper|vuốt thon, giảm dần|narrow, thin, decrease, dwindle, lessen
tardy|chậm trễ, muộn màng|late, overdue, delayed, sluggish, remiss
target|mục tiêu, đích ngắm|goal, objective, aim, destination, victim
tariff|thuế quan, biểu giá|tax, duty, levy, toll, rate
tarnish|làm hoen ố, mất thanh danh|discolor, stain, blemish, taint, tarnish
tarry|chần chừ, nán lại|linger, loiter, dawdle, delay, stay
tart|chua chát, sắc sảo|sour, acid, sharp, biting, caustic
task|nhiệm vụ, công việc|job, chore, duty, assignment, undertaking
taste|vị giác, nếm thử, gu thẩm mỹ|flavor, savor, sample, preference, style
tasteful|có thẩm mỹ, trang nhã|elegant, stylish, refined, graceful, aesthetic
tasteless|vô vị, nhạt nhẽo, kém sang|bland, insipid, flavorless, tacky, vulgar
tasty|ngon miệng|delicious, savory, flavorful, scrumptious, appetizing
tattered|rách nưới, tơi tả|torn, ragged, frayed, shredded, ripped
taunt|chế nhạo, thách thức|jeer, mock, sneer, insult, provoke
taut|căng thẳng, chặt chẽ|tight, stretched, tense, rigid, firm
tawdry|hào nhoáng rẻ tiền|flashy, gaudy, meretricious, cheap, tasteless
tax|thuế, đánh thuế, làm mệt mỏi|levy, duty, tariff, burden, exhaust
taxing|đòi hỏi cao, nhọc nhằn|demanding, arduous, strenuous, hard, difficult
teach|dạy dỗ, hướng dẫn|instruct, educate, train, guide, tutor
teacher|giáo viên|instructor, educator, tutor, mentor, pedagogue
team|đội, nhóm|group, crew, squad, band, gang
tear|xé rách, nước mắt|rip, shred, lacerate, weep, drop
tease|trêu chọc, chọc ghẹo|taunt, mock, tantalize, bait, bother
tedious|tẻ nhạt, dài dòng|boring, dull, monotonous, humdrum, wearisome
tedium|sự tẻ nhạt|boredom, monotony, sameness, dullness
teem|đầy rẫy, tràn ngập|swarm, abound, bristle, overflow
teeming|đông đúc, đầy rẫy|swarming, bustling, crowded, packed, abundant
temerity|sự táo bạo liều lĩnh|audacity, boldness, recklessness, effrontery
temper|tính khí, làm dịu bớt|mood, disposition, anger, moderate, soften
temperament|tính cách, cơ địa|disposition, character, nature, temper, makeup
temperamental|thất thường, dễ nổi cáu|moody, volatile, erratic, irritable, touchy
temperance|sự điều độ, chừng mực|moderation, restraint, sobriety, self-control
temperate|ôn hòa, vừa phải|moderate, mild, calm, reasonable, restrained
tempest|cơn bão dữ dội, náo động|storm, gale, hurricane, tumult, uproar
tempestuous|giông bão, hỗn loạn|stormy, turbulent, tumultuous, wild, violent
temporal|thuộc thời gian, trần thế|earthly, worldly, secular, temporary, mortal
temporary|tạm thời|transient, provisional, short-term, fleeting, ephemeral
tempt|cám dỗ, quyến rũ|entice, lure, attract, bait, tantalize
temptation|sự cám dỗ|enticement, lure, bait, attraction
tenable|có thể bảo vệ được, hợp lý|defensible, justifiable, sound, valid, reasonable
tenacious|ngoan cường, kiên trì|stubborn, persistent, obstinate, resolute, tough
tenacity|sự bền bỉ, kiên trì|perseverance, persistence, stubbornness, grit
tenant|người thuê nhà|renter, occupant, leaseholder, resident
tend|có xu hướng, chăm sóc|incline, lean, care for, look after, attend
tendency|xu hướng, thiên hướng|inclination, propensity, leaning, trend, drift
tender|mềm mại, dịu dàng, bỏ thầu|soft, gentle, affectionate, offer, submit
tenderness|sự dịu dàng, lòng trắc ẩn|gentleness, affection, kindness, softness, warmth
tenebrous|tối tăm, u ám|dark, gloomy, obscure, shadowy, dim
tenet|giáo lý, chủ nghĩa|belief, doctrine, principle, dogma, creed
tenor|tiến trình, giọng nam cao|drift, course, trend, current, tone
tense|căng thẳng|tight, taut, nervous, anxious, strained
tension|sự căng thẳng|stress, strain, pressure, friction, anxiety
tentative|ướm thử, do dự|provisional, experimental, hesitant, cautious, uncertain
tenuous|mong manh, hời hợt|thin, slender, fragile, weak, flimsy
tenure|nhiệm kỳ, sự chiếm giữ|term, incumbency, occupancy, possession, hold
tepid|lukewarm, warmish, unenthusiastic, half-hearted, indifferent
term|thuật ngữ, thời hạn, điều khoản|word, expression, period, tenure, condition
terminate|chấm dứt, kết thúc|end, finish, cease, stop, conclude
termination|sự kết thúc|end, conclusion, finish, cessation, close
terminology|thuật ngữ chuyên môn|jargon, lingo, vocabulary, phraseology
terminus|bến cuối, điểm cuối|end, terminal, limit, boundary
terrain|địa hình|topography, land, ground, territory
terrestrial|thuộc trái đất, trên cạn|earthly, worldly, land-based
terrible|kinh khủng, tồi tệ|awful, horrible, dreadful, bad, severe
terrific|tuyệt vời, khủng khiếp|wonderful, amazing, superb, huge, intense
terrify|làm khiếp sợ|frighten, scare, petrify, horrify, appall
territory|lãnh thổ, khu vực|region, area, zone, district, domain
terror|sự kinh hoàng, nỗi khiếp sợ|panic, dread, fright, horror, fear
terse|ngắn gọn, súc tích|brief, concise, succinct, short, laconic
test|bài kiểm tra, thử nghiệm|exam, quiz, trial, check, analyze
testify|làm chứng, chứng minh|bear witness, swear, assert, state, prove
testimonial|giấy chứng nhận, sự tri ân|tribute, recommendation, certificate, voucher
testimony|lời chứng, bằng chứng|evidence, proof, declaration, statement
testy|dễ cáu bẳn|irritable, peevish, petulant, touchy, grumpy
tether|dây buộc, giới hạn|rope, chain, tie, bond, limit
text|văn bản, văn cảnh|words, text, script, content, passage
texture|kết cấu, bề mặt|surface, structure, feel, composition, grain
thank|cảm ơn|appreciate, acknowledge
thankful|biết ơn|grateful, appreciative, indebted
thaw|tan chảy, dịu đi|melt, dissolve, soften, warm up
theatrical|thuộc sân khấu, kịch tính|dramatic, histrionic, exaggerated, showy
theft|sự trộm cắp|larceny, robbery, stealing, pilfering, burglary
theme|chủ đề, đề tài|topic, subject, motif, concept, thesis
theology|theology, divinity, religion
theoretical|mang tính lý thuyết|hypothetical, academic, abstract, ideal
theory|lý thuyết, giả thuyết|hypothesis, thesis, concept, assumption, conjecture
therapeutic|mang tính chữa trị|curative, healing, remedial, medicinal
thereby|bằng cách đó|thus, therefore, hence
therefore|vì vậy, do đó|hence, thus, consequently, so, accordingly
thesis|luận điểm, luận văn|theory, premise, dissertation, essay, paper
thick|dày, đậm đặc, ngu ngốc|dense, heavy, viscous, stupid, dense
thief|kẻ trộm|robber, burglar, pickpocket, pilferer, crook
thin|mỏng, gầy, loãng|slender, lean, slim, sparse, watery
think|suy nghĩ, cho là|ponder, meditate, consider, believe, suppose
thorny|gai góc, phức tạp|prickly, difficult, problematic, knotty, troublesome
thorough|kỹ lưỡng, hoàn toàn|complete, thorough, rigorous, exhaustive, total
thought|suy nghĩ, tư tưởng|idea, concept, reflection, musing, consideration
thoughtful|chu đáo, trầm ngâm|considerate, kind, pensive, meditative, reflective
thoughtless|thiếu suy nghĩ, ích kỷ|inconsiderate, careless, unthinking, selfish, insensate
thrall|sự nô dịch, nô lệ|slavery, bondage, servitude, captive
thrash|đập nát, đánh bại|beat, whip, flog, defeat, trounce
threadbare|sờn rách, cũ rích|worn, ragged, cliché, hackneyed, stale
threat|mối đe dọa|menace, danger, peril, hazard, warning
threaten|đe dọa|menace, intimidate, browbeat, endanger, loom
threatening|mang tính đe dọa|ominous, menacing, intimidating, sinister
thrifty|tiết kiệm, tằn tiện|frugal, economical, sparing, parsimonious
thrill|sự rùng mình thích thú|excitement, stimulation, sensation, pleasure, glow
thrilling|hồi hộp, kịch tính|exciting, breathtaking, awesome, gripping
thrive|phát triển mạnh mẽ|flourish, prosper, boom, grow, succeed
thriving|thịnh vượng, phát đạt|flourishing, prosperous, booming, successful
throb|đập mạnh, nhói lòng|palpitate, beat, pound, pulsate, ache
throe|cơn đau dữ dội|pang, spasm, agony, pain, suffering
throng|đám đông, tụ tập|crowd, multitude, mob, swarm, gather
throttle|bóp nghẹt, kiềm chế|choke, strangle, stifle, suppress, control
throughout|khắp nơi, suốt thời gian|everywhere, all over, during
throw|ném, phóng|fling, toss, cast, hurl, pitch
table|cái bàn|desk, counter, board
tablet|máy tính bảng, viên thuốc|pad, pill, device
tactic|chiến thuật|strategy, plan, maneuver
tactical|thuộc chiến thuật|strategic, clever, planned
tag|nhãn, thẻ|label, sticker, badge
tailor|thợ may, điều chỉnh|seamster, adapt, customize
take|lấy, cầm|grab, seize, acquire
tale|câu chuyện|story, narrative, yarn
talent|tài năng|gift, ability, aptitude
talk|nói chuyện|speak, chat, discuss
tall|cao|lofty, high, elevated
tame|thuần hóa|domesticate, subdue, gentle
tamper|can thiệp vào|interfere, meddle, tinker
tangible|hữu hình|palpable, real, touchable
tangle|làm rối|snarl, knot, jumble
tank|bể chứa, xe tăng|container, reservoir, armored vehicle
tap|vòi nước, gõ nhẹ|faucet, valve, rap
tape|băng keo, băng ghi âm|adhesive, ribbon, recording
tardy|chậm trễ|late, overdue, sluggish
target|mục tiêu|goal, aim, objective
tariff|thuế quan|tax, duty, levy
tarnish|làm lu mờ|stain, discolor, taint
tarry|nán lại|linger, dawdle, wait
task|nhiệm vụ|chore, duty, assignment
taste|nếm, gu thẩm mỹ|savor, flavor, preference
tasty|ngon miệng|delicious, savory, appetizing
taunt|chế nhạo|mock, jeer, sneer
tavern|quán rượu|pub, bar, inn
tawdry|lòe loẹt, rẻ tiền|gaudy, flashy, showy
tax|thuế|levy, duty, assessment
taxi|xe taxi|cab, vehicle
teach|dạy dỗ|instruct, educate, tutor
team|đội|group, squad, crew
tear|xé rách, nước mắt|rip, shred, weep
tease|trêu chọc|taunt, mock, tantalize
technical|thuộc kỹ thuật|technological, mechanical
technique|kỹ thuật, phương pháp|method, skill, craft
technology|công nghệ|science, machinery, engineering
tedious|tẻ nhạt|boring, dull, monotonous
teen|thanh thiếu niên|adolescent, youth
telegraph|điện tín|message, wire
telepathy|thần giao cách cảm|mind-reading, extrasensory
telephone|điện thoại|phone, call
telescope|kính thiên văn|scope, glass
television|truyền hình|tv, broadcast
tell|nói, bảo|state, inform, narrate
temper|tính khí, làm dịu|mood, disposition, soften
temperament|tính cách|disposition, character, nature
tempest|bão tố|storm, gale, tumult
temple|đền thờ|shrine, place of worship
tempo|nhịp độ|pace, speed, rhythm
temporary|tạm thời|short-lived, transient, provisional
tempt|cám dỗ|lure, entice, attract
tenable|có thể bảo vệ được|defensible, sound, valid
tenacious|ngoan cường|persistent, stubborn, resolute
tenant|người thuê nhà|renter, occupant, resident
tend|có xu hướng, chăm sóc|incline, lean, care for
tendency|xu hướng|inclination, propensity, trend
tender|mềm mại, dịu dàng|soft, gentle, affectionate
tenet|giáo lý, nguyên tắc|belief, principle, doctrine
tenor|tiến trình, giọng nam cao|trend, drift, course, tone
tense|căng thẳng|strained, nervous, tight
tension|sự căng thẳng|stress, pressure, friction
tent|cái lều|canopy, shelter
tentative|dự kiến, do dự|provisional, uncertain, hesitant
tenure|nhiệm kỳ|term, incumbency, occupancy
tepid|âm ấm, thờ ơ|lukewarm, unenthusiastic
terminal|điểm cuối, máy trạm|end, station, limit
terminate|chấm dứt|end, finish, conclude
terminology|thuật ngữ|jargon, lingo, vocabulary
termite|con mối|insect, pest
terrain|địa hình|land, ground, territory
terrestrial|trên cạn|earthly, worldly, land-based
terrible|kinh khủng|awful, dreadful, bad
terrific|tuyệt vời|wonderful, superb, great
terrify|làm khiếp sợ|frighten, scare, appall
territory|lãnh thổ|region, area, domain
terror|sự kinh hoàng|fear, dread, panic
terse|ngắn gọn|brief, concise, succinct
test|kiểm tra|exam, quiz, trial
testify|làm chứng|witness, swear, state
testimony|lời chứng|evidence, proof, declaration
testy|dễ cáu bẳn|irritable, peevish, touchy
tether|dây buộc|rope, chain, bond
text|văn bản|words, script, content
textbook|sách giáo khoa|manual, guide, handbook
textile|dệt may|fabric, cloth, material
texture|kết cấu|feel, surface, grain
thank|cảm ơn|appreciate, acknowledge
thankful|biết ơn|grateful, appreciative
thaw|tan chảy|melt, dissolve, warm
theater|nhà hát|playhouse, cinema, stage
theft|sự trộm cắp|larceny, robbery, stealing
theme|chủ đề|topic, subject, motif
theology|thần học|divinity, religion
theoretical|thuộc lý thuyết|abstract, hypothetical, academic
theory|lý thuyết|hypothesis, thesis, assumption
therapeutic|có tính trị liệu|curative, healing, remedial
thereby|bằng cách đó|thus, hence, so
therefore|vì vậy|consequently, hence, so
thesis|luận văn|dissertation, essay, premise
thick|dày, đậm đặc|dense, heavy, viscous
thief|kẻ trộm|robber, burglar, crook
thin|mỏng, gầy|lean, slim, sparse
think|suy nghĩ|ponder, meditate, believe
thirst|cơn khát, khao khát|craving, hunger, longing
thorn|cái gai|spike, barb, prickle
thorny|gai góc, phức tạp|knotty, difficult, complex
thorough|kỹ lưỡng|complete, exhaustive, rigorous
thought|suy nghĩ|idea, concept, reflection
thoughtful|chu đáo, trầm ngâm|pensive, considerate, kind
thoughtless|thiếu suy nghĩ|inconsiderate, careless, selfish
thrall|sự nô dịch|slavery, bondage, servitude
thrash|đập nát, đánh bại|beat, whip, defeat
thread|sợi chỉ|fiber, filament, strand
threadbare|sờn rách, cũ kỹ|worn, ragged, cliché
threat|mối đe dọa|menace, danger, peril
threaten|đe dọa|menace, intimidate, loom
threatening|mang tính đe dọa|ominous, menacing
thrifty|tiết kiệm|frugal, economical, sparing
thrill|sự rùng mình thích thú|excitement, sensation, pleasure
thrilling|kịch tính, hồi hộp|exciting, gripping
thrive|phát triển mạnh|flourish, prosper, boom
thriving|thịnh vượng|flourishing, prosperous
throb|đập mạnh|palpitate, beat, pound
throe|cơn đau dữ dội|pang, spasm, agony
throng|đám đông|crowd, multitude, mob
throttle|bóp nghẹt|choke, strangle, stifle
throughout|khắp nơi, suốt|everywhere, all over
throw|ném, quăng|fling, toss, hurl
thud|tiếng bịch|thump, crash, sound
thug|kẻ côn đồ|ruffian, hooligan, gangster
thumb|ngón tay cái|digit
thump|tiếng đập mạnh|thud, pound, strike
thunder|tiếng sấm|boom, rumble, blast
thwart|cản trở|frustrate, baffle, defeat
tick|tiếng tích tắc, đánh dấu|click, tap, mark
ticket|vé, phiếu|pass, voucher, tag
tickle|làm buồn cười|itch, tease, amuse
tidbit|mẩu tin, món ngon|morsel, bit, snippet
tide|thủy triều|flow, current, wave
tidings|tin tức|news, report, update
tidy|gọn gàng|neat, orderly, clean
tie|cà vạt, buộc|knot, bind, fasten
tier|tầng, lớp|layer, level, rank
tight|chặt, chật|taut, firm, constricted
tighten|làm chặt lại|constrict, fasten, secure
tile|viên gạch|brick, slab
till|cho đến khi, ngăn kéo tiền|until, box, drawer
tilt|nghiêng|slant, slope, tip
timber|gỗ xây dựng|wood, lumber, logs
timbre|âm sắc|tone, quality, resonance
time|thời gian|period, duration, age
timely|kịp thời|opportune, seasonable
timid|nhút nhát|shy, bashful, fearful
timorous|dễ sợ hãi|fearful, timid, shy
tin|thiếc|metal
tincture|cồn thuốc, sắc thái|extract, shade, tint
tinge|nhuốm màu|shade, tint, touch
tingle|cảm giác râm ran|prickle, sting, thrill
tinker|sửa chữa vụn vặt|meddle, fiddle, repair
tinsel|đồ trang trí lấp lánh|glitter, tinsel, flash
tint|sắc thái|shade, hue, color
tiny|nhỏ bé|small, minuscule, minute
tip|mẹo, đầu mút, tiền boa|hint, point, gratuity
tirade|bài diễn văn công kích|rant, diatribe, scolding
tire|làm mệt, lốp xe|exhaust, fatigue, wheel
tired|mệt mỏi|weary, exhausted, drained
tireless|không biết mệt mỏi|indefatigable, persistent
tiresome|tẻ nhạt, mệt mỏi|tedious, boring, wearisome
tithe|thuế thập phân|tax, levy, contribution
title|tiêu đề, tước hiệu|heading, name, rank
titter|cười khúc khích|giggle, snicker
titular|trên danh nghĩa|nominal, ceremonial
toad|con cóc|amphibian
toast|bánh mì nướng, chúc mừng|bread, salute, cheer
tobacco|thuốc lá|smoking, plant
today|hôm nay|now, present
toe|ngón chân|digit
toil|lao động cực nhọc|labor, work, drudgery
toilet|nhà vệ sinh|lavatory, restroom, loo
token|vật tượng trưng|sign, badge, symbol
tolerable|có thể chịu đựng được|bearable, passable, fair
tolerance|sự khoan dung|patience, endurance, leniency
tolerant|khoan dung|patient, lenient, broad-minded
tolerate|chịu đựng, khoan dung|bear, endure, stand
toll|thuế cầu đường, tiếng chuông|charge, fee, ring
tomb|lăng mộ|grave, sepulcher, vault
tomfoolery|trò đùa ngu ngốc|nonsense, buffoonery
ton|tấn|measure
tone|tông giọng, màu sắc|shade, quality, pitch
tongue|lưỡi, ngôn ngữ|language, speech, idiom
tonic|thuốc bổ, nước tăng lực|tonic, stimulant, remedy
tool|công cụ|instrument, utensil, device
tooth|cái răng|tusk, fang
top|đỉnh, hàng đầu|peak, summit, pinnacle
topic|chủ đề|subject, theme, issue
topical|thuộc chủ đề, thời sự|current, relevant, timely
topography|địa hình|terrain, landscape, map
topple|lật đổ|overthrow, overturn, capsize
topsy-turvy|lộn xộn|chaotic, upside-down, messy
torch|ngọn đuốc, đèn pin|light, flashlight, flame
torment|sự đau khổ, hành hạ|suffering, agony, torture
tornado|cơn lốc xoáy|cyclone, storm, hurricane
torpid|uể oải, lờ đờ|lethargic, sluggish, inactive
torpor|sự uể oải|lethargy, sluggishness
torrent|dòng nước chảy xiết|flood, deluge, flow
torrid|nóng bỏng, khô hạn|hot, tropical, parched
tortuous|quanh co, phức tạp|winding, twisting, complex
torture|sự tra tấn|torment, agony, pain
toss|ném, tung|throw, fling, pitch
total|tổng số, hoàn toàn|sum, entire, absolute
totem|vật tổ|symbol, emblem, idol
totter|lảo đảo|stagger, wobble, sway
touch|chạm, cảm giác|feel, contact, sense
touchy|dễ cáu bẳn|irritable, sensitive, testy
tough|cứng rắn, gian khổ|hard, resilient, strenuous
tour|chuyến tham quan|journey, travel, excursion
tourist|khách du lịch|traveler, visitor, sightseer
tournament|giải đấu|contest, match, competition
tow|kéo (tàu, xe)|haul, drag, pull
toward|về phía|towards, near
towel|khăn tắm|cloth, wipe
tower|tòa tháp|skyscraper, spire
towering|cao chót vót|lofty, imposing, giant
town|thị trấn|city, community
toxic|độc hại|poisonous, lethal, harmful
toy|đồ chơi|plaything, doll
trace|dấu vết, truy vết|track, sign, sketch
track|theo dõi, đường ray|trail, follow, path
tract|vùng đất, văn bản|region, area, treatise
traction|sự kéo, lực kéo|friction, grip, pull
trade|thương mại, nghề nghiệp|commerce, exchange, business
trademark|thương hiệu|brand, logo, mark
tradition|truyền thống|custom, heritage, culture
traditional|thuộc truyền thống|customary, conventional
traffic|giao thông|transportation, trade
tragedy|thảm kịch|disaster, calamity
tragic|bi thảm|sad, disastrous, pathetic
trail|đường mòn, dấu vết|path, trace, track
train|tàu hỏa, đào tạo|rail, coach, instruct
trainee|người được đào tạo|apprentice, student, novice
trainer|người huấn luyện|coach, instructor
traitor|kẻ phản bội|betrayer, turncoat
tramp|người lang thang|vagabond, wanderer, hiker
trample|giẫm đạp|crush, squash, tread
trance|sự hôn mê, xuất thần|stupor, dream, spell
tranquil|thanh bình|calm, peaceful, serene
tranquility|sự thanh bình|peace, serenity, calm
transact|giao dịch|conduct, deal, manage
transaction|sự giao dịch|deal, business, exchange
transcend|vượt qua|surpass, exceed, excel
transcribe|chép lại|write, copy, record
transfer|chuyển giao|move, shift, relocate
transfix|làm sững sờ|stun, stun, mesmerize
transform|biến đổi|change, alter, convert
transformation|sự biến đổi|change, alteration, shift
transgress|vi phạm|violate, sin, disobey
transient|thoáng qua|fleeting, temporary, short
transistor|bóng bán dẫn|device, electronics
transit|sự vận chuyển|transport, movement
transition|sự chuyển tiếp|change, shift, passage
transitory|tạm thời|temporary, fleeting, short
translate|dịch|interpret, convert, decode
translation|sự dịch thuật|interpretation, version
translucent|trong mờ|semi-transparent, clear
transmit|truyền tải|send, convey, broadcast
transmute|biến đổi|transform, change, convert
transparent|trong suốt|clear, see-through
transpire|lộ ra, xảy ra|occur, happen, emerge
transplant|cấy ghép|implant, transfer
transport|vận chuyển|carry, move, ship
transportation|sự vận chuyển|shipping, transit
transpose|đổi chỗ|swap, switch, change
trap|cái bẫy|snare, pitfall, capture
trappings|phụ kiện, vật trang trí|gear, trimmings, finery
trash|rác|rubbish, waste, garbage
trauma|chấn thương|injury, shock, wound
travail|lao động cực nhọc|toil, drudgery, work
travel|du lịch|journey, trip, roam
traverse|đi ngang qua|cross, span, bridge
travesty|trò hề, sự giả tạo|farce, mockery, parody
trawl|đánh lưới|fish, sweep, search
tray|cái khay|platter, salver, holder
treacherous|phản bội, nguy hiểm|betraying, dangerous, risky
treachery|sự phản bội|betrayal, treason, disloyalty
tread|bước đi|step, walk, stride
treason|tội phản quốc|betrayal, disloyalty
treasure|kho báu, trân trọng|fortune, wealth, cherish
treasurer|thủ quỹ|financial officer
treat|chiêu đãi, đối xử|deal, handle, entertain
treatise|luận văn|paper, essay, dissertation
treatment|sự đối xử, điều trị|care, handling, therapy
treaty|hiệp ước|agreement, pact, alliance
trek|cuộc hành trình dài|journey, hike, trip
tremble|run rẩy|shake, quiver, shiver
tremendous|to lớn, khủng khiếp|huge, massive, amazing
tremor|sự rung chuyển|shaking, vibration, earthquake
trench|rãnh, hào|ditch, pit, furrow
trend|xu hướng|tendency, drift, fashion
trepidation|sự sợ hãi|fear, alarm, anxiety
trespass|xâm phạm|encroach, intrude, violate
trial|phiên tòa, thử nghiệm|test, experiment, hearing
tribe|bộ lạc|clan, group, ethnic
tribulation|sự đau khổ|suffering, distress, hardship
tribunal|tòa án|court, justice, panel
tributary|nhánh sông|branch, affluent
tribute|cống nạp, lời khen|praise, honor, gift
trick|trò lừa, thủ thuật|deception, ruse, stunt
trickle|nhỏ giọt|drip, leak, seep
trifle|chuyện tầm phào|trinket, nothing, petty
trifling|tầm thường|insignificant, trivial, petty
trigger|cò súng, khơi mào|fire, activate, start
trill|tiếng hót, rung|warble, chirrup
trim|cắt tỉa, gọn gàng|prune, neat, tidy
trinket|đồ trang sức nhỏ|ornament, bauble, toy
trio|bộ ba|group, threesome
trip|chuyến đi, vấp ngã|journey, excursion, stumble
triple|gấp ba|threefold, treble
trite|sáo rỗng|clichéd, hackneyed, banal
triumph|chiến thắng|victory, success, win
triumphant|thắng lợi|victorious, successful
trivial|tầm thường|insignificant, minor, petty
trod|đã đi (quá khứ tread)|stepped, walked
troop|đoàn quân|squad, band, group
trophy|chiến lợi phẩm, cúp|award, prize, cup
tropical|nhiệt đới|hot, humid
trot|chạy nước kiệu|run, jog, pace
trouble|vấn đề, rắc rối|problem, bother, worry
troublesome|phiền phức|annoying, difficult, irksome
trough|máng ăn|bin, bin, container
trounce|đánh bại|defeat, whip, thrash
troupe|đoàn nghệ thuật|group, company, band
trowel|cái bay (xây dựng)|tool, scoop
truant|kẻ trốn học|absentee, loafer
truce|sự đình chiến|ceasefire, armistice, peace
truck|xe tải|lorry, van, vehicle
truculent|hung hăng|aggressive, hostile, belligerent
trudge|bước đi nặng nhọc|tramp, plod, march
true|đúng, thật|accurate, genuine, real
truly|thực sự|genuinely, actually, really
trump|quân bài chủ, chiến thắng|win, succeed, beat
trumpet|kèn trumpet, rao giảng|horn, proclaim, boast
truncate|cắt bớt|cut, shorten, curtail
trunk|thân cây, cái hòm|stem, chest, luggage
truss|cái giá đỡ, buộc lại|support, bind, tie
trust|sự tin tưởng|confidence, faith, belief
trustworthy|đáng tin cậy|reliable, dependable, honest
truth|sự thật|fact, reality, honesty
truthful|thật thà|honest, sincere, frank
try|thử, cố gắng|attempt, endeavor, test
tryst|cuộc hẹn hò|meeting, appointment, date
tub|cái bồn|basin, container, vat
tuba|kèn tuba|instrument, horn
tube|ống|pipe, duct, cylinder
tuber|củ|root, vegetable
tubular|hình ống|cylindrical, pipe-like
tuck|nhét vào|push, stuff, fold
tuft|chùm (tóc, cỏ)|bunch, cluster, patch
tug|kéo mạnh|pull, jerk, haul
tuition|học phí, sự dạy bảo|fees, instruction, teaching
tumble|ngã nhào|fall, topple, drop
tumid|sưng lên|swollen, bloated, distended
tumor|khối u|growth, mass
tumult|sự ồn ào, hỗn loạn|commotion, uproar, chaos
tumultuous|ồn ào, hỗn loạn|stormy, wild, noisy
tuna|cá ngừ|fish
tune|giai điệu, chỉnh âm|melody, song, adjust
tunic|áo dài|shirt, garment, robe
tunnel|đường hầm|passage, subway, conduit
turbid|đục ngầu|muddy, cloudy, murky
turbulence|sự hỗn loạn, nhiễu động|commotion, disturbance, instability
turbulent|hỗn loạn, dữ dội|stormy, wild, chaotic
tureen|tô lớn|bowl, dish
turf|mặt cỏ, lãnh thổ|grass, territory, area
turgid|sưng lên, khoa trương|bloated, swollen, pompous
turmoil|sự rối loạn|chaos, confusion, disorder
turn|xoay, thay đổi|rotate, pivot, change
turncoat|kẻ phản bội|traitor, deserter, renegade
turning|sự xoay, bước ngoặt|point, corner
turquoise|màu xanh ngọc|color, gem
turret|tháp pháo|tower, spire
turtle|con rùa|reptile
tusk|ngà voi|fang, tooth
tussle|cuộc ẩu đả|scuffle, fight, struggle
tutelage|sự bảo hộ, dạy bảo|instruction, guidance, guardianship
tutor|gia sư|teacher, coach, instructor
tuxedo|bộ lễ phục|suit, dinner jacket
twaddle|lời nhảm nhí|nonsense, drivel, balderdash
twain|cặp đôi|two, pair
twang|tiếng kêu vang, giọng mũi|sound, accent, accent
tweak|nhéo, tinh chỉnh|adjust, nip, pinch
tweed|vải len thô|fabric, cloth
tweet|tiếng chim hót, bài đăng|chirp, post
tweezers|cái nhíp|pincers, pliers
twelve|mười hai|dozen
twenty|hai mươi|number
twice|hai lần|doubly, twofold
twig|nhành cây nhỏ|branch, stick, shoot
twilight|chạng vạng|dusk, sunset, evening
twill|vải chéo|fabric, cloth
twin|anh chị em sinh đôi|double, pair, duplicate
twine|sợi dây, bện lại|cord, twist, weave
twinge|cơn đau nhói|pang, ache, spasm
twinkle|lấp lánh|shine, sparkle, glimmer
twirl|xoay|spin, rotate, whirl
twist|xoắn, thay đổi|bend, wind, curve
twitch|giật giật|jerk, spasm, quiver
twitter|tiếng chim hót, nói chuyện nhảm|chirp, chatter
two|hai|pair, couple
twofold|gấp đôi|double, dual
tycoon|ông trùm|magnate, mogul, magnate
tying|việc buộc|fastening, binding
tyke|đứa trẻ tinh nghịch|child, kid
type|loại, đánh máy|kind, sort, key
typhoon|bão nhiệt đới|storm, cyclone, hurricane
typical|điển hình|standard, normal, representative
typify|là hình mẫu|represent, embody, characterize
tyranny|sự bạo ngược|dictatorship, oppression, cruelty
tyrant|kẻ bạo chúa|dictator, oppressor, despot
tyro|người mới bắt đầu|beginner, novice, learner

ubiquitous|khắp nơi, phổ biến|omnipresent, pervasive, universal, widespread
ugly|xấu xí, khó chịu|hideous, repulsive, unattractive, unsightly, nasty
ulcerous|bị loét, độc hại|cankerous, corrupting, peeling
ulterior|kín đáo, ẩn ngầm|hidden, concealed, covert, secret, underlying
ultimate|cuối cùng, tối thượng|final, eventual, supreme, utmost, paramount
ultimately|cuối cùng thì|eventually, finally, at last, in the end
